label,benchmark,n_steps,two_qubit_gates,tvd_lambda1,tvd_lambda3,tvd_lambda5,tvd_zne,tvd_zne_linear,tvd_zne_quadratic,clipped_negative_mass,retention_lambda1,improvement
harmonic_propagate_r1,harmonic,1,165,0.04640119069916916,0.08851544851166916,0.13820375731478965,0.015842376045241014,0.02442853444916909,0.0321131347568251,0.0,1.0,0.030558814653928148
harmonic_propagate_r4,harmonic,4,345,0.0871622915932941,0.17649064373331325,0.23874650310831325,0.025734244037516337,0.05983888664537741,0.03106247127954177,0.0,1.0,0.06142804755577776
infinite_well_propagate_r1,infinite_well,1,555,0.13096386455614928,0.1807528282419675,0.19829998355750433,0.12875713835909358,0.12369241198686443,0.09639936601435442,5.659985817631569,0.5828857421875,0.0022067261970556973
tilted_well_propagate_r1,tilted_well,1,555,0.2077269925378864,0.3261764418898324,0.36743620886870965,0.11312966704871316,0.18066463551735867,0.13794798699228517,0.0,0.5791015625,0.09459732548917324
