label,benchmark,n_steps,lambda_max,tvd_raw,tvd_zne,tvd_raw_vs_exact,tvd_zne_vs_exact,tvd_ideal_vs_exact,amplification,clipped_negative_mass,retention,improvement
harmonic_propagate_r1,harmonic,1,5.0,0.05165590575228965,0.030267937109360932,0.41155831518387415,0.4042304039218123,0.4005216246537122,1.0976101610712379,0.0,1.0,0.021387968642928717
harmonic_propagate_r2,harmonic,2,5.0,0.1280112839384822,0.06939217372721367,0.7943023154236218,0.8407207528708672,0.8942149908387255,1.1525922309662255,0.0,1.0,0.058619110211268546
harmonic_propagate_r4,harmonic,4,5.0,0.09360490154581323,0.041447820030856085,0.32628473729862184,0.28561272252897424,0.28612613114956365,1.2482750707846146,0.0,1.0,0.05215708151495715
harmonic_propagate_r8,harmonic,8,5.0,0.08312294848484465,0.04317960477743886,0.386969528429616,0.3692514757184818,0.35645201822328115,1.2533094028090952,0.0,1.0,0.03994334370740579
infinite_well_propagate_r1,infinite_well,1,5.0,0.10760481945424927,0.07555776635588829,0.10760481945425078,0.07555776635588915,2.1723074727919567e-15,1.3415922852380322,0.0,0.5887451171875,0.03204705309836098
infinite_well_propagate_r2,infinite_well,2,2.9507389162561575,0.1420373023480811,0.06537958325770658,0.14203730234808323,0.06537958325770911,2.9483793878570808e-15,2.6472301605025375,0.00790183022012017,0.4635009765625,0.07665771909037451
infinite_well_propagate_r4,infinite_well,4,1.6058981233243967,0.18439388583136018,0.15672558632588385,0.184393885831363,0.15672558632588693,4.895823330075544e-15,2.495441039222107,0.0,0.34619140625,0.027668299505476335
tilted_well_propagate_r1,tilted_well,1,5.0,0.171029349876794,0.048369932590534376,0.8137804684630551,0.8971490606250982,0.9277945135498634,1.5940015673598489,0.0,0.5908203125,0.12265941728625962
tilted_well_propagate_r2,tilted_well,2,2.6244541484716155,0.2326481215655541,0.03158258991762042,0.5743829043047254,0.4234866136000617,0.42858149253595357,2.3720407480065813,0.014031096474069943,0.408203125,0.20106553164793367
tilted_well_propagate_r4,tilted_well,4,1.3164835164835165,0.3670609020548347,0.1502858482443763,0.597859503325789,0.3219974343602718,0.27164710656851254,4.0,0.0,0.29736328125,0.21677505381045842
